iter	Passed	Remaining
0	1	1110
1	2	998
2	2	975
3	3	952
4	4	943
5	5	936
6	6	928
7	7	924
8	8	920
9	9	914
10	10	909
11	11	909
12	11	906
13	12	905
14	13	908
15	14	905
16	15	903
17	16	897
18	17	896
19	18	892
20	19	891
21	19	888
22	20	885
23	21	882
24	22	879
25	23	879
26	24	877
27	26	907
28	27	905
29	27	902
30	28	900
31	29	897
32	30	895
33	31	891
34	32	888
35	33	886
36	33	884
37	34	883
38	35	881
39	36	878
40	37	878
41	38	877
42	39	884
43	41	892
44	42	891
45	42	889
46	43	888
47	44	886
48	45	883
49	46	879
50	47	875
51	47	871
52	48	867
53	49	866
54	50	864
55	51	861
56	51	858
57	52	857
58	53	855
59	54	852
60	55	850
61	56	847
62	56	847
63	57	844
64	58	841
65	59	839
66	60	836
67	60	833
68	61	830
69	62	828
70	63	825
71	63	823
72	64	821
73	65	819
74	66	817
75	67	818
76	68	819
77	69	817
78	70	817
79	71	817
80	71	815
81	72	813
82	73	807
83	73	806
84	74	805
85	75	802
86	76	800
87	77	798
88	77	796
89	78	795
90	79	794
91	80	793
92	81	792
93	82	790
94	82	788
95	83	787
96	84	785
97	85	784
98	85	782
99	86	780
100	87	779
101	88	777
102	89	776
103	89	774
104	90	772
105	91	770
106	92	769
107	92	767
108	93	765
109	94	766
110	95	766
111	96	764
112	97	763
113	98	761
114	98	760
115	99	759
116	100	757
117	101	756
118	101	754
119	102	753
120	103	751
121	104	749
122	104	747
123	105	746
124	106	744
125	107	743
126	107	740
127	108	740
128	109	739
129	110	738
130	111	736
131	111	736
132	112	734
133	113	733
134	114	732
135	115	730
136	115	729
137	116	728
138	117	727
139	118	726
140	119	725
141	119	722
142	120	721
143	121	721
144	122	721
145	123	720
146	124	721
147	125	721
148	126	721
149	127	720
150	128	720
151	129	720
152	129	719
153	130	718
154	131	717
155	132	716
156	133	715
157	134	714
158	134	713
159	135	713
160	136	711
161	137	710
162	138	709
163	139	708
164	139	708
165	140	707
166	141	706
167	142	706
168	143	705
169	144	705
170	145	704
171	146	704
172	147	704
173	148	703
174	149	702
175	149	701
176	150	700
177	151	699
178	152	698
179	153	698
180	154	697
181	155	697
182	155	696
183	156	695
184	157	693
185	158	692
186	159	691
187	160	691
188	160	690
189	161	689
190	162	689
191	163	690
192	164	689
193	165	688
194	166	688
195	167	686
196	168	686
197	169	686
198	170	687
199	171	686
200	172	685
201	173	684
202	174	684
203	175	683
204	175	682
205	176	681
206	177	680
207	178	679
208	179	678
209	180	678
210	181	677
211	181	676
212	182	675
213	184	676
214	184	675
215	185	675
216	186	674
217	187	673
218	188	673
219	189	672
220	190	671
221	191	670
222	192	669
223	193	668
224	193	667
225	194	666
226	195	665
227	196	663
228	196	662
229	197	662
230	198	661
231	199	661
232	200	660
233	201	659
234	202	658
235	202	656
236	203	655
237	204	655
238	205	653
239	206	652
240	206	651
241	207	650
242	208	649
243	209	647
244	209	646
245	210	645
246	211	644
247	212	642
248	212	641
249	213	640
250	214	640
251	215	639
252	216	638
253	216	637
254	217	635
255	218	635
256	219	634
257	220	633
258	220	632
259	221	630
260	222	629
261	223	628
262	223	627
263	224	626
264	225	625
265	226	624
266	226	623
267	227	621
268	228	621
269	229	620
270	230	619
271	230	618
272	231	616
273	232	616
274	233	615
275	234	614
276	234	613
277	235	611
278	236	610
279	237	609
280	237	608
281	238	607
282	239	606
283	240	605
284	240	603
285	241	602
286	242	601
287	242	600
288	243	600
289	244	599
290	245	598
291	246	597
292	247	597
293	248	596
294	249	595
295	250	594
296	250	593
297	251	592
298	252	591
299	253	590
300	253	589
301	254	588
302	255	587
303	256	586
304	256	585
305	257	584
306	258	583
307	259	582
308	260	581
309	260	580
310	261	579
311	262	578
312	263	577
313	263	576
314	264	575
315	265	574
316	266	573
317	266	572
318	267	571
319	268	570
320	269	569
321	270	568
322	270	567
323	271	566
324	272	565
325	273	564
326	274	564
327	274	563
328	275	562
329	276	561
330	277	560
331	277	559
332	278	558
333	279	557
334	280	556
335	281	555
336	281	554
337	282	553
338	283	552
339	284	551
340	284	550
341	285	549
342	286	548
343	287	547
344	287	546
345	288	545
346	289	544
347	290	544
348	291	543
349	291	542
350	292	541
351	293	540
352	294	539
353	295	538
354	295	537
355	296	536
356	297	535
357	298	535
358	299	534
359	299	533
360	300	532
361	301	531
362	302	530
363	303	529
364	304	529
365	305	528
366	305	527
367	306	526
368	307	526
369	308	525
370	309	524
371	309	523
372	310	522
373	311	521
374	312	520
375	312	519
376	313	518
377	314	517
378	315	516
379	316	515
380	316	514
381	317	513
382	318	513
383	319	512
384	320	511
385	321	510
386	322	510
387	323	509
388	324	508
389	324	508
390	325	507
391	326	506
392	327	505
393	328	504
394	329	503
395	329	502
396	330	502
397	331	501
398	332	500
399	333	499
400	334	499
401	335	498
402	336	497
403	336	497
404	337	496
405	338	495
406	339	494
407	340	493
408	340	492
409	342	492
410	343	492
411	345	492
412	346	491
413	346	490
414	347	490
415	348	489
416	349	488
417	350	487
418	350	486
419	351	485
420	352	484
421	353	483
422	353	482
423	354	481
424	355	481
425	356	480
426	357	479
427	358	478
428	358	477
429	359	476
430	360	475
431	361	474
432	361	473
433	362	473
434	363	472
435	364	471
436	365	470
437	365	469
438	366	468
439	367	467
440	368	466
441	369	466
442	370	465
443	371	464
444	372	464
445	372	463
446	373	462
447	374	461
448	375	460
449	375	459
450	376	458
451	377	457
452	378	456
453	378	455
454	379	454
455	380	454
456	381	453
457	382	452
458	383	451
459	384	450
460	384	449
461	385	448
462	386	448
463	387	447
464	387	446
465	388	445
466	389	444
467	390	443
468	390	442
469	391	441
470	392	440
471	393	439
472	393	438
473	394	437
474	395	436
475	396	436
476	396	435
477	397	434
478	398	433
479	399	432
480	400	431
481	400	430
482	401	429
483	402	428
484	403	427
485	403	427
486	404	426
487	405	425
488	405	424
489	406	423
490	407	422
491	408	421
492	409	421
493	410	420
494	411	419
495	412	419
496	413	418
497	413	417
498	414	416
499	415	415
500	416	414
501	416	413
502	417	412
503	418	411
504	419	410
505	419	409
506	420	408
507	421	407
508	421	407
509	422	406
510	423	405
511	424	404
512	425	403
513	426	402
514	426	401
515	427	401
516	428	400
517	429	399
518	429	398
519	430	397
520	431	396
521	432	395
522	432	394
523	433	393
524	434	392
525	434	391
526	435	391
527	436	390
528	437	389
529	438	388
530	439	387
531	439	387
532	440	386
533	441	385
534	442	384
535	443	383
536	443	382
537	444	381
538	445	380
539	445	379
540	446	378
541	447	378
542	448	377
543	448	376
544	449	375
545	450	374
546	451	373
547	451	372
548	452	372
549	453	371
550	454	370
551	455	369
552	456	368
553	456	367
554	457	367
555	458	366
556	459	365
557	459	364
558	460	363
559	461	362
560	462	361
561	462	360
562	463	359
563	464	358
564	464	357
565	465	357
566	466	356
567	467	355
568	468	354
569	469	354
570	470	353
571	471	352
572	471	351
573	472	350
574	473	349
575	474	348
576	474	348
577	475	347
578	476	346
579	477	345
580	477	344
581	478	343
582	479	342
583	480	342
584	481	341
585	481	340
586	482	339
587	483	338
588	484	337
589	485	337
590	485	336
591	486	335
592	487	334
593	488	333
594	488	332
595	489	331
596	490	331
597	491	330
598	491	329
599	492	328
600	493	327
601	494	326
602	494	325
603	495	324
604	496	324
605	497	323
606	498	322
607	498	321
608	499	320
609	500	319
610	501	318
611	501	318
612	502	317
613	503	316
614	503	315
615	504	314
616	505	313
617	506	312
618	506	311
619	507	311
620	508	310
621	509	309
622	510	308
623	510	307
624	511	306
625	512	306
626	513	305
627	514	304
628	514	303
629	515	302
630	516	301
631	517	301
632	517	300
633	518	299
634	519	298
635	520	297
636	520	296
637	521	295
638	522	295
639	523	294
640	523	293
641	524	292
642	525	291
643	526	290
644	526	290
645	527	289
646	528	288
647	529	287
648	529	286
649	530	285
650	531	284
651	532	284
652	532	283
653	533	282
654	534	281
655	535	280
656	535	279
657	536	278
658	537	278
659	538	277
660	538	276
661	539	275
662	540	274
663	541	273
664	542	273
665	542	272
666	543	271
667	544	270
668	545	269
669	545	268
670	546	268
671	547	267
672	548	266
673	549	265
674	550	264
675	550	264
676	551	263
677	552	262
678	553	261
679	553	260
680	554	259
681	555	258
682	556	258
683	556	257
684	557	256
685	558	255
686	559	254
687	560	253
688	560	253
689	561	252
690	562	251
691	563	250
692	563	249
693	564	248
694	565	248
695	566	247
696	566	246
697	567	245
698	568	244
699	569	243
700	569	243
701	570	242
702	571	241
703	572	240
704	572	239
705	573	238
706	574	238
707	575	237
708	576	236
709	576	235
710	577	234
711	578	233
712	579	233
713	580	232
714	580	231
715	581	230
716	582	229
717	583	229
718	583	228
719	584	227
720	585	226
721	586	225
722	587	224
723	588	224
724	589	223
725	589	222
726	590	221
727	591	221
728	592	220
729	593	219
730	593	218
731	594	217
732	595	216
733	596	216
734	597	215
735	597	214
736	598	213
737	599	212
738	600	211
739	600	211
740	601	210
741	602	209
742	603	208
743	604	207
744	605	207
745	605	206
746	606	205
747	607	204
748	608	203
749	609	203
750	609	202
751	610	201
752	611	200
753	612	199
754	613	198
755	613	198
756	614	197
757	615	196
758	616	195
759	617	194
760	618	194
761	619	193
762	620	192
763	621	191
764	621	191
765	622	190
766	623	189
767	624	188
768	625	187
769	625	186
770	626	186
771	627	185
772	628	184
773	629	183
774	629	182
775	630	182
776	631	181
777	632	180
778	633	179
779	634	178
780	635	178
781	635	177
782	636	176
783	637	175
784	638	174
785	638	173
786	639	173
787	640	172
788	641	171
789	641	170
790	642	169
791	643	168
792	644	168
793	644	167
794	645	166
795	646	165
796	647	164
797	648	164
798	649	163
799	650	162
800	650	161
801	651	160
802	652	160
803	653	159
804	653	158
805	654	157
806	655	156
807	656	155
808	657	155
809	657	154
810	658	153
811	659	152
812	660	151
813	661	151
814	661	150
815	662	149
816	663	148
817	664	147
818	665	147
819	666	146
820	667	145
821	667	144
822	668	143
823	669	142
824	670	142
825	670	141
826	671	140
827	672	139
828	673	138
829	674	138
830	674	137
831	675	136
832	676	135
833	677	134
834	678	134
835	679	133
836	679	132
837	680	131
838	681	130
839	682	129
840	683	129
841	683	128
842	684	127
843	685	126
844	686	125
845	686	125
846	687	124
847	688	123
848	689	122
849	689	121
850	690	120
851	691	120
852	692	119
853	693	118
854	693	117
855	694	116
856	695	116
857	696	115
858	696	114
859	697	113
860	698	112
861	699	111
862	700	111
863	700	110
864	701	109
865	702	108
866	703	107
867	704	107
868	705	106
869	705	105
870	706	104
871	707	103
872	708	103
873	709	102
874	710	101
875	710	100
876	711	99
877	712	99
878	713	98
